Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy (low-quality client),Client 4 Accuracy (low-quality client),Client 5 Accuracy (low-quality client),Client 6 Accuracy (low-quality client),Client 7 Accuracy (low-quality client),Client 8 Accuracy (low-quality client),Client 9 Accuracy (low-quality client),Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9142236699239956,8,0.1,9,100,0.8219326818675353,0.8490770901194354,0.8653637350705755,0.8241042345276873,0.8197611292073833,0.8251900108577633,0.8099891422366993,0.8512486427795874,0.8490770901194354,0.9109663409337676
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8979370249728555,9,0.1,9,100,0.8599348534201955,0.8273615635179153,0.7817589576547231,0.8284473398479913,0.8241042345276873,0.8110749185667753,0.8338762214983714,0.8425624321389794,0.8317046688382194,0.8621064060803475
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9185667752442996,10,0.1,9,100,0.8175895765472313,0.8664495114006515,0.8501628664495114,0.8490770901194354,0.8718783930510315,0.8588490770901195,0.8718783930510315,0.8523344191096635,0.8186753528773073,0.8707926167209555
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9077090119435396,12,0.1,9,100,0.8121606948968513,0.8469055374592834,0.8621064060803475,0.8425624321389794,0.8251900108577633,0.8175895765472313,0.7937024972855592,0.8545059717698155,0.8501628664495114,0.9001085776330076
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9153094462540716,13,0.1,9,100,0.8197611292073833,0.8306188925081434,0.8186753528773073,0.8338762214983714,0.8371335504885994,0.8002171552660152,0.8425624321389794,0.8566775244299675,0.8436482084690554,0.8610206297502715
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9077090119435396,14,0.1,9,100,0.8273615635179153,0.8382193268186754,0.8349619978284474,0.8653637350705755,0.8143322475570033,0.8360477741585234,0.7839305103148752,0.8165038002171553,0.8621064060803475,0.9022801302931596
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9066232356134636,15,0.1,9,100,0.8762214983713354,0.8110749185667753,0.8545059717698155,0.8013029315960912,0.8512486427795874,0.8219326818675353,0.7730727470141151,0.8414766558089034,0.8197611292073833,0.8773072747014115
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9174809989142236,16,0.1,9,100,0.7633007600434311,0.8621064060803475,0.8175895765472313,0.8403908794788274,0.8208469055374593,0.8208469055374593,0.8143322475570033,0.8067318132464713,0.8393051031487514,0.9055374592833876
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9033659066232356,17,0.1,9,100,0.8121606948968513,0.7969598262757872,0.8458197611292074,0.8078175895765473,0.8501628664495114,0.7861020629750272,0.8002171552660152,0.8534201954397395,0.7904451682953312,0.9218241042345277
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9239956568946797,18,0.1,9,100,0.8371335504885994,0.8262757871878393,0.8230184581976113,0.8262757871878393,0.8382193268186754,0.7947882736156352,0.8327904451682954,0.8631921824104235,0.8425624321389794,0.9066232356134636
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9153094462540716,19,0.1,9,100,0.8436482084690554,0.8306188925081434,0.8382193268186754,0.8023887079261672,0.8523344191096635,0.8371335504885994,0.8577633007600435,0.8566775244299675,0.8534201954397395,0.8957654723127035
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8990228013029316,20,0.1,9,100,0.8241042345276873,0.7665580890336591,0.8154180238870793,0.8284473398479913,0.8436482084690554,0.8067318132464713,0.8045602605863192,0.8664495114006515,0.8284473398479913,0.9077090119435396
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8914223669923995,21,0.1,9,100,0.8349619978284474,0.7882736156351792,0.8794788273615635,0.8403908794788274,0.8251900108577633,0.8490770901194354,0.8089033659066233,0.8045602605863192,0.8165038002171553,0.9283387622149837
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9294245385450597,22,0.1,9,100,0.7947882736156352,0.8436482084690554,0.8751357220412594,0.7785016286644951,0.8686210640608035,0.7839305103148752,0.8458197611292074,0.8501628664495114,0.8382193268186754,0.9011943539630836
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8979370249728555,23,0.1,9,100,0.8262757871878393,0.8208469055374593,0.8512486427795874,0.8067318132464713,0.8230184581976113,0.8382193268186754,0.8338762214983714,0.8306188925081434,0.7806731813246471,0.8805646036916395
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8946796959826275,24,0.1,9,100,0.7969598262757872,0.8143322475570033,0.7752442996742671,0.8251900108577633,0.8230184581976113,0.8197611292073833,0.8327904451682954,0.8393051031487514,0.8154180238870793,0.8838219326818675
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9044516829533116,25,0.1,9,100,0.8621064060803475,0.8251900108577633,0.8230184581976113,0.8393051031487514,0.8892508143322475,0.760043431053203,0.8382193268186754,0.8653637350705755,0.7698154180238871,0.8935939196525515
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8859934853420195,26,0.1,9,100,0.7741585233441911,0.7654723127035831,0.8512486427795874,0.8165038002171553,0.8067318132464713,0.8783930510314875,0.8458197611292074,0.8143322475570033,0.8002171552660152,0.9142236699239956
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9087947882736156,27,0.1,9,100,0.8827361563517915,0.8002171552660152,0.8783930510314875,0.8186753528773073,0.8653637350705755,0.7850162866449512,0.8284473398479913,0.8230184581976113,0.8317046688382194,0.8783930510314875
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9055374592833876,28,0.1,9,100,0.8143322475570033,0.8338762214983714,0.8382193268186754,0.8360477741585234,0.8143322475570033,0.8501628664495114,0.8371335504885994,0.8577633007600435,0.8664495114006515,0.8935939196525515
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9142236699239956,29,0.1,9,100,0.8610206297502715,0.761129207383279,0.8425624321389794,0.8034744842562432,0.8729641693811075,0.8393051031487514,0.8089033659066233,0.8469055374592834,0.7958740499457112,0.8903365906623235
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9001085776330076,30,0.1,9,100,0.8121606948968513,0.7828447339847991,0.8132464712269273,0.7958740499457112,0.8349619978284474,0.8317046688382194,0.8251900108577633,0.7958740499457112,0.8002171552660152,0.8979370249728555
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9087947882736156,31,0.1,9,100,0.8534201954397395,0.8251900108577633,0.8545059717698155,0.8273615635179153,0.8013029315960912,0.8707926167209555,0.8881650380021715,0.8186753528773073,0.8273615635179153,0.8881650380021715
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9022801302931596,32,0.1,9,100,0.8393051031487514,0.8566775244299675,0.8512486427795874,0.8197611292073833,0.8534201954397395,0.8002171552660152,0.8132464712269273,0.8295331161780674,0.8349619978284474,0.9153094462540716
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9044516829533116,33,0.1,9,100,0.8436482084690554,0.8338762214983714,0.7893593919652552,0.8382193268186754,0.7752442996742671,0.7817589576547231,0.7665580890336591,0.8566775244299675,0.8621064060803475,0.9120521172638436
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9142236699239956,34,0.1,9,100,0.8469055374592834,0.8089033659066233,0.8577633007600435,0.8403908794788274,0.8230184581976113,0.8273615635179153,0.8056460369163952,0.8545059717698155,0.8056460369163952,0.9011943539630836
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9077090119435396,35,0.1,9,100,0.7752442996742671,0.8338762214983714,0.8577633007600435,0.7785016286644951,0.8631921824104235,0.8327904451682954,0.8490770901194354,0.8425624321389794,0.8523344191096635,0.9066232356134636
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9131378935939196,36,0.1,9,100,0.8230184581976113,0.8306188925081434,0.7947882736156352,0.8545059717698155,0.8143322475570033,0.7904451682953312,0.8197611292073833,0.8251900108577633,0.8382193268186754,0.9066232356134636
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9218241042345277,37,0.1,9,100,0.8165038002171553,0.8241042345276873,0.8436482084690554,0.8555917480998915,0.8002171552660152,0.8545059717698155,0.8371335504885994,0.8382193268186754,0.8197611292073833,0.8729641693811075
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9120521172638436,38,0.1,9,100,0.8349619978284474,0.8056460369163952,0.8566775244299675,0.8056460369163952,0.8642779587404995,0.8273615635179153,0.8230184581976113,0.752442996742671,0.8436482084690554,0.8968512486427795
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8990228013029316,39,0.1,9,100,0.8436482084690554,0.8371335504885994,0.8175895765472313,0.8165038002171553,0.8262757871878393,0.7893593919652552,0.7676438653637351,0.8512486427795874,0.7665580890336591,0.9120521172638436
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9142236699239956,40,0.1,9,100,0.8371335504885994,0.8403908794788274,0.8447339847991314,0.7980456026058632,0.8599348534201955,0.8458197611292074,0.7741585233441911,0.8360477741585234,0.8317046688382194,0.9055374592833876
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9305103148751357,41,0.1,9,100,0.8197611292073833,0.8425624321389794,0.7969598262757872,0.8241042345276873,0.8751357220412594,0.8458197611292074,0.8751357220412594,0.8034744842562432,0.8197611292073833,0.8968512486427795
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9077090119435396,42,0.1,9,100,0.8957654723127035,0.8382193268186754,0.8284473398479913,0.8251900108577633,0.8458197611292074,0.7958740499457112,0.8241042345276873,0.7937024972855592,0.8545059717698155,0.8859934853420195
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9142236699239956,43,0.1,9,100,0.8284473398479913,0.7980456026058632,0.8208469055374593,0.8599348534201955,0.8577633007600435,0.8327904451682954,0.8566775244299675,0.8588490770901195,0.7763300760043431,0.9022801302931596
